orientation,case_id,frequency_hz,frequency_over_f0,sigma_re_S_m,sigma_im_S_m,phase_deg,n_components,max_component_voltage_span_V,electrode_mismatch
transverse,single_edge_0p02,5.660439166124679,0.1778279410038923,0.19878200028225912,0.0006871914575914148,0.19807132101545344,3,4.129742126014576e-05,0.00010775452689258838
transverse,single_edge_0p02,10.065842420897406,0.31622776601683794,0.19901910937195513,0.0011481254266959657,0.3305311322308708,3,4.4116829392458374e-05,0.00011623845837509124
transverse,single_edge_0p02,17.899880321778202,0.5623413251903491,0.19961033894786334,0.0017141297870534157,0.49200852419888624,3,5.04168040820931e-05,0.00013498529707277576
transverse,single_edge_0p02,31.830988618379063,1.0,0.2006514563793525,0.0020231999376853094,0.5777027055468654,3,6.28309257862072e-05,0.00016255549687542589
transverse,single_edge_0p02,56.60439166124679,1.7782794100389228,0.20171095337879003,0.0017455765633013912,0.49581676985143025,3,7.437094890304644e-05,0.00018623145961477278
transverse,single_edge_0p02,100.65842420897407,3.1622776601683795,0.2023304726678834,0.001182820864809819,0.33494643966928384,3,7.750516298141016e-05,0.0001987329136604176
transverse,single_edge_0p02,178.998803217782,5.623413251903491,0.20258362515748682,0.0007124301822401316,0.20149246680031246,3,7.754692575655122e-05,0.00020364511471563978
transverse,single_edge_0p02,318.30988618379064,10.0,0.20267192928007471,0.0004110027339462246,0.11619117569012598,3,7.870129131467944e-05,0.0002053635723891383
transverse,weak_chain,3.1830988618379066,0.1,0.19870052434417224,0.00039446637042154657,0.11374518798119232,3,4.927144002096157e-05,0.00010467331725398909
transverse,weak_chain,5.660439166124679,0.1778279410038923,0.19878200018236503,0.000687191506941183,0.19807133533911273,3,5.117414905487083e-05,0.00010775474797340867
transverse,weak_chain,10.065842420897406,0.31622776601683794,0.19901910929290006,0.0011481255126312355,0.33053115710131675,3,5.332366106281622e-05,0.00011623855476165439
transverse,weak_chain,17.899880321778202,0.5623413251903491,0.19961033889019977,0.001714129926805048,0.49200856445210106,3,6.002729265980846e-05,0.0001349850952358975
transverse,weak_chain,31.830988618379063,1.0,0.20065145640407417,0.0020232001715876254,0.5777027722594253,3,7.592313669941059e-05,0.00016255491288825783
transverse,weak_chain,56.60439166124679,1.7782794100389228,0.20171095357454333,0.0017455768085333214,0.49581683902293167,3,9.11879204920381e-05,0.00018623067246104777
transverse,weak_chain,100.65842420897407,3.1622776601683795,0.20233047297300327,0.001182821020330447,0.33494648320288745,3,9.560692148009282e-05,0.00019873208589244842
transverse,weak_chain,178.998803217782,5.623413251903491,0.20258362549653405,0.0007124302528210419,0.20149248642491613,3,9.573428464549076e-05,0.00020364427619485825
transverse,weak_chain,318.30988618379064,10.0,0.20267192961959613,0.00041100273962164674,0.11619117709992711,3,9.656785731579587e-05,0.00020536271296420447
transverse,transition_chain,3.1830988618379066,0.1,0.19870052431064514,0.00039446604779610936,0.11374509497092172,3,1.5203983854994522e-05,0.00010467316776971945
transverse,transition_chain,5.660439166124679,0.1778279410038923,0.19878199996379775,0.0006871910512146666,0.19807120420247865,3,2.298505133409295e-05,0.00010775467665057076
transverse,transition_chain,10.065842420897406,0.31622776601683794,0.19901910883706667,0.001148125006502996,0.3305310121535109,3,3.0511255009774558e-05,0.00011623837090331976
