network,edge,single_fraction,orthogonal_fraction,direction_factor
23,16,0.03931333565705444,0.07130483197772758,0.32873032626606136
23,17,0.05321676175620715,0.061548773227303614,0.5155228032284035
24,0,0.0005625168086660781,0.00040081465728928153,0.9832790908183908
24,1,0.011760414055246084,0.008243613028327665,0.9995163672493391
24,2,0.0043152742525648284,0.005993361582881562,0.504455448341034
24,3,0.0037330384275652663,0.01177467132196366,0.22212557349690115
24,4,0.00015884222512829634,0.022626515612978224,0.0049185056799347536
24,5,0.020251895824703426,0.015079563582051054,0.9409397302438993
24,6,0.02937794861405986,0.07080762949147015,0.29068746612478097
24,7,0.05104578434763549,0.035767104612951406,0.9999101826756072
24,8,0.6193225730309715,0.5611896476718754,0.7732005479440511
24,9,0.022373049777609625,0.015714042555838418,0.9975212556223021
24,10,0.018287964078653858,0.01953707554972991,0.6558291237879903
24,11,0.002532136409895403,0.012303984108569617,0.14418704160146587
24,12,0.032059607695368475,0.022501269976330764,0.9982425274495367
24,13,0.010080201452500723,0.026876565678988478,0.2627727541431639
24,14,0.053802069250973375,0.04999511705215643,0.7539738512632196
24,15,0.1203366837484576,0.12118902351659805,0.6956962261074714
25,0,0.00018709772906076223,0.00026370583344308726,0.17533449637936263
25,1,0.0005043778374555308,0.00016568612304888815,0.7522954764531335
25,2,0.0006569093820295753,0.00016300613152550155,0.9959100493782823
25,3,0.027652101623195414,0.009336732803207758,0.7319000972101471
25,4,0.012378779833840288,0.003133989914137022,0.976110164586961
25,5,0.003285982308430248,0.054601837204793745,0.014872245851295896
25,6,0.03764284362366416,0.011554544198733632,0.8050969777777627
25,7,0.08757819389983124,0.02195646935089151,0.9857165985743988
25,8,0.019167715742115947,0.014347994616017991,0.3301396952950823
25,9,0.0030147238198353966,0.0022491031545348846,0.33125065728306435
25,10,0.11346551405133938,0.04093851890048153,0.6849365621120542
25,11,0.00996433462275801,0.002463074025557849,0.9997454360925462
25,12,0.017566914380628268,0.0452208984491851,0.09600080813154419
25,13,0.00463988090752488,0.5123360876426634,0.002238053567287168
25,14,0.008929302547632974,0.020095610896540377,0.1098082363092816
25,15,0.01464099504315092,0.08247869004481871,0.04386795909956164
25,16,0.5593332117103577,0.15716233702558782,0.8795098752407656
25,17,0.07939112093714921,0.021531713684831293,0.9111962602998787
26,0,0.05068519910492881,0.027392830816146296,0.9897225934364154
26,1,0.005103715307755103,0.004732811421616161,0.5768149171933438
26,2,0.008161981121398841,0.00831266654425705,0.5251996999017071
26,3,0.0414296599254141,0.02712580734526217,0.8169546297372288
26,4,0.004767982894969039,0.004786449809771541,0.5328321510398447
26,5,0.0005801849085214872,0.007945325352733462,0.03905925765366057
26,6,0.0750078921712625,0.040155783796072396,0.99914402802396
26,7,0.002012252378087665,0.005957754149738924,0.18066295702061497
26,8,0.00083917677894454,0.01822249454054435,0.024632861892974655
26,9,0.0014646109393712387,0.006571486478118536,0.11921417504675685
26,10,0.157480031443494,0.08462120508866525,0.9954410124836759
26,11,0.19361698507706596,0.21523579648352045,0.48116961460159025
26,12,0.08722071211609468,0.087615901033777,0.5324832358278507
26,13,0.007954063778205175,0.05184877814097978,0.08205778418060362
26,14,0.09603317807303383,0.06409336065993988,0.8014519692603802
26,15,0.07514320526056391,0.055223342783184096,0.7278405825701864
26,16,0.19249916872088904,0.2901582055556726,0.35486506299361503
27,0,0.000754043926446409,0.0006929131562480978,0.5976593920268974
27,1,0.0009109745381034618,0.0013951539630621017,0.3586080309237465
27,2,0.23374598481884126,0.12845645300485423,0.9993650183107092
27,3,0.0011256176542583417,0.0064627611550662194,0.0956552254895211
27,4,0.01038756222783188,0.005785300967302481,0.9861059770907342
27,5,0.1788049320827687,0.11072506595975297,0.8868893833600208
27,6,0.01629261780663934,0.014528742221491274,0.615883772637256
